as.factor(Month),count
2016-02,26422
2016-03,28516
2016-04,28258
2016-05,30722
2016-06,30111
2016-07,31255
2016-08,30850
2016-09,31064
2016-10,34709
2016-11,31122
2016-12,32079
2017-01,31670
2017-02,30784
2017-03,35094
2017-04,34878
2017-05,35890
2017-06,36397
2017-07,37480
2017-08,35658
2017-09,32768
2017-10,35990
2017-11,34052
2017-12,31233
2018-01,31774
2018-02,29609
2018-03,33434
2018-04,34120
2018-05,35478
2018-06,34386
2018-07,35333
2018-08,32184
2018-09,30956
2018-10,32838
2018-11,32672
2018-12,30377
2019-01,31063
